accession_code,ProstT5_128_dim_0,ProstT5_128_dim_1,ProstT5_128_dim_2,ProstT5_128_dim_3,ProstT5_128_dim_4,ProstT5_128_dim_5,ProstT5_128_dim_6,ProstT5_128_dim_7,ProstT5_128_dim_8,ProstT5_128_dim_9,ProstT5_128_dim_10,ProstT5_128_dim_11,ProstT5_128_dim_12,ProstT5_128_dim_13,ProstT5_128_dim_14,ProstT5_128_dim_15,ProstT5_128_dim_16,ProstT5_128_dim_17,ProstT5_128_dim_18,ProstT5_128_dim_19,ProstT5_128_dim_20,ProstT5_128_dim_21,ProstT5_128_dim_22,ProstT5_128_dim_23,ProstT5_128_dim_24,ProstT5_128_dim_25,ProstT5_128_dim_26,ProstT5_128_dim_27,ProstT5_128_dim_28,ProstT5_128_dim_29,ProstT5_128_dim_30,ProstT5_128_dim_31,ProstT5_128_dim_32,ProstT5_128_dim_33,ProstT5_128_dim_34,ProstT5_128_dim_35,ProstT5_128_dim_36,ProstT5_128_dim_37,ProstT5_128_dim_38,ProstT5_128_dim_39,ProstT5_128_dim_40,ProstT5_128_dim_41,ProstT5_128_dim_42,ProstT5_128_dim_43,ProstT5_128_dim_44,ProstT5_128_dim_45,ProstT5_128_dim_46,ProstT5_128_dim_47,ProstT5_128_dim_48,ProstT5_128_dim_49,ProstT5_128_dim_50,ProstT5_128_dim_51,ProstT5_128_dim_52,ProstT5_128_dim_53,ProstT5_128_dim_54,ProstT5_128_dim_55,ProstT5_128_dim_56,ProstT5_128_dim_57,ProstT5_128_dim_58,ProstT5_128_dim_59,ProstT5_128_dim_60,ProstT5_128_dim_61,ProstT5_128_dim_62,ProstT5_128_dim_63,ProstT5_128_dim_64,ProstT5_128_dim_65,ProstT5_128_dim_66,ProstT5_128_dim_67,ProstT5_128_dim_68,ProstT5_128_dim_69,ProstT5_128_dim_70,ProstT5_128_dim_71,ProstT5_128_dim_72,ProstT5_128_dim_73,ProstT5_128_dim_74,ProstT5_128_dim_75,ProstT5_128_dim_76,ProstT5_128_dim_77,ProstT5_128_dim_78,ProstT5_128_dim_79,ProstT5_128_dim_80,ProstT5_128_dim_81,ProstT5_128_dim_82,ProstT5_128_dim_83,ProstT5_128_dim_84,ProstT5_128_dim_85,ProstT5_128_dim_86,ProstT5_128_dim_87,ProstT5_128_dim_88,ProstT5_128_dim_89,ProstT5_128_dim_90,ProstT5_128_dim_91,ProstT5_128_dim_92,ProstT5_128_dim_93,ProstT5_128_dim_94,ProstT5_128_dim_95,ProstT5_128_dim_96,ProstT5_128_dim_97,ProstT5_128_dim_98,ProstT5_128_dim_99,ProstT5_128_dim_100,ProstT5_128_dim_101,ProstT5_128_dim_102,ProstT5_128_dim_103,ProstT5_128_dim_104,ProstT5_128_dim_105,ProstT5_128_dim_106,ProstT5_128_dim_107,ProstT5_128_dim_108,ProstT5_128_dim_109,ProstT5_128_dim_110,ProstT5_128_dim_111,ProstT5_128_dim_112,ProstT5_128_dim_113,ProstT5_128_dim_114,ProstT5_128_dim_115,ProstT5_128_dim_116,ProstT5_128_dim_117,ProstT5_128_dim_118,ProstT5_128_dim_119,ProstT5_128_dim_120,ProstT5_128_dim_121,ProstT5_128_dim_122,ProstT5_128_dim_123,ProstT5_128_dim_124,ProstT5_128_dim_125,ProstT5_128_dim_126,ProstT5_128_dim_127
P02686,-0.18135716,0.012189338,0.0029394105,-0.094298616,-0.07017558,-0.038738787,-0.020270523,-0.04193606,0.12251155,0.030252364,-0.09726556,-0.0724588,0.08856328,-0.16968904,0.17964934,0.041054793,0.23213606,-0.10171352,0.06425971,-0.011514637,-0.006084991,-0.009270899,0.0044023776,0.0046895016,0.011568416,-0.019736119,0.20284544,0.0844993,-0.036815383,0.042098988,-0.04060913,0.1168026,0.123257786,0.07053341,0.23853338,0.1142685,-0.05361801,0.04053208,0.08447189,0.12477851,-0.12644032,0.100715235,-0.10548359,0.035183534,-0.2942322,-0.0026166365,-0.4471976,-0.08038017,-0.08844322,-0.12955578,-0.0634305,0.037387587,-0.063356325,-0.16386893,-0.03582233,0.038372178,0.036660787,-0.14548586,0.101069614,-0.0017537102,-0.0014876351,-0.01721754,-0.03097644,-0.0051309206,-0.25497368,0.09684161,0.07423055,0.016819634,-0.023388945,-0.12481004,-0.067707896,0.014308137,0.07954101,0.119636394,-0.11439374,-0.11362688,-0.2703653,-0.07168186,-0.025772829,-0.25585788,-0.062139504,0.06731277,0.12706476,-0.061952565,0.15630509,-0.028738778,0.0037043802,0.0882169,-0.008354627,0.13051967,-0.14266951,-0.012597449,0.09461331,-0.021178503,0.20805578,0.09362924,0.011052239,-0.034177475,0.012776299,-0.02571322,0.016712375,-0.08210583,-0.015538436,0.15573737,-0.059170917,-0.052141547,-0.18358505,0.27558744,0.15591663,0.13634524,-0.4564795,-0.30026233,-0.0019856617,-0.11430889,-0.003913427,-0.18271194,-0.039822973,-0.15671858,-0.075161815,-0.08657297,0.16153364,0.15094751,-0.10983352,-0.077595726,-0.27258503,0.08046047,-0.0068124426,0.2788017
P02747,-0.058927976,-0.08527839,-0.19242556,-0.18798527,0.13813472,0.013884172,0.037117697,-0.13975036,0.05290439,0.055922974,-0.23270395,-0.06735311,0.02775697,-0.049221266,0.040167365,0.106222644,0.15209465,-0.10940613,-0.11126421,-0.03397966,-0.07253858,0.10393122,-0.02383716,-0.054544717,0.048865534,-0.04957075,0.14159638,-0.11066963,-0.15462762,0.20889682,0.10098005,-0.0034557106,-0.020086978,0.3052566,0.14449328,0.18729742,0.0908342,0.078616336,0.24432358,-0.22732091,0.10628009,0.17287989,-0.00077856705,-0.2686581,0.013695097,-0.1653417,-0.16099419,-0.029524844,-0.044741854,-8.4927306e-05,-0.105024576,0.086161986,0.09987204,-0.088925354,-0.055799797,-0.2183985,-0.1073129,-0.058624603,-0.010703884,-0.15073694,-0.084166795,-0.15358146,-0.11019515,0.041537225,-0.08728326,0.0037938391,-0.11881101,-0.26224542,0.07091826,-0.07892758,-0.112942636,0.04692872,-0.020948622,-0.1305972,0.01459516,0.1069558,0.20539472,-0.0039199926,0.18894126,0.022222333,0.020235553,-0.16964294,-0.05188887,-0.12186638,-0.010199405,0.13497739,0.0034716409,-0.048281968,0.0039658546,-0.14302564,-0.0023181047,-0.057474285,0.2312476,0.009757105,0.09351983,0.18116853,-0.03832741,0.035489794,-0.030751446,0.19987318,0.16616672,0.14304256,0.024035342,-0.34595147,0.2625807,-0.026264304,0.013542464,0.07355143,0.06809135,-0.085993946,0.11636051,-0.012723938,-0.06444132,0.08579154,0.0982935,0.05031153,0.03781745,0.123116985,0.083715215,0.034852475,-0.045699853,-0.22903275,-0.10913228,-0.09682822,0.08506636,-0.15730405,-0.032700296,0.030184384
Q15428,-0.14176813,0.18251368,-0.054245874,-0.098651156,0.12436384,0.16358984,-0.008873507,0.02986613,-0.03053531,0.050992254,-0.025031943,-0.085668325,-0.048833404,-0.04215478,0.20938472,0.12866785,0.04965947,0.026906405,-0.035491668,-0.016263751,-0.17804727,0.011054922,-0.010812613,-0.23061092,-0.05873902,0.10382882,0.07309216,0.1925469,0.08578801,0.046802193,0.09483762,-0.08082682,-0.003795594,0.16472016,0.07390741,0.020891394,0.11014569,0.028572265,-0.07127722,-0.1871339,0.23567504,0.15273957,0.09685762,-0.18381907,0.039487235,0.1706504,-0.23608482,-0.011509642,0.006271597,-0.23761658,-0.2423495,0.1532189,0.13536671,0.007479511,0.01209192,-0.06531225,-0.11716862,0.023924828,-0.02084985,-0.10821786,-0.06442282,-0.02117563,0.19792944,-0.022450227,-0.04638622,0.11082056,0.12078699,-0.17396408,-0.026027478,0.030823812,-0.2199155,-0.16161548,0.06727916,-0.09505216,0.06533091,0.0040850155,0.042166844,0.029149827,0.07335109,0.013427798,0.23567203,-0.26221657,0.100166336,-0.062437728,-0.0404903,0.14492285,0.17054316,-0.12667625,-0.00041371584,-0.10986309,-0.11752042,0.030930273,0.031676695,0.0056590177,0.04136516,0.14217159,-0.21441886,0.20779207,0.032723658,0.06230917,0.18241748,-0.039858576,-0.012559787,-0.44453445,0.0114745125,-0.074991226,-0.16708884,-0.1473598,0.29424074,0.002780173,-0.004508499,-0.093503386,-0.10912864,-0.023055695,-0.036064252,-0.008917969,0.217823,0.075832315,-0.04137574,-0.00557089,0.029090058,-0.17009267,-0.094644636,-0.14990638,0.045299146,-0.114556275,-0.041469026,-0.08073966
O95429,-0.32392508,0.0036325958,-0.044999365,-0.15263017,0.12016454,0.06151401,0.02911215,-0.1339317,-0.058573086,-0.063552074,-0.022041298,0.014907032,0.0601845,-0.03836626,0.40545323,0.3019869,0.14616637,0.0041893125,0.14118682,-0.027378643,-0.38704294,0.0010853149,-0.049172208,-0.09473512,-0.02956448,0.020529024,-0.12733091,0.17847744,-0.010196741,0.045093212,0.17583908,0.04231492,0.03320705,-0.19639577,0.081251785,0.082936995,0.011938885,0.042413156,0.042639185,0.023622729,0.02435483,0.024039272,0.07422753,0.25174785,0.04076378,-0.067930065,-0.40596402,0.09636413,0.006495986,-0.23914866,-0.070842616,-0.0076124687,0.02568787,-0.2661193,0.08193213,-0.027903397,-0.10608335,-0.07660834,0.04304348,-0.050243713,-0.16050231,0.0696265,0.11965761,0.021157298,-0.014457742,0.034729227,-0.056288473,-0.28002346,-0.070891194,-0.059301227,-0.26040056,-0.035555385,0.036428966,-0.15238851,0.16915642,0.01661123,0.10221287,0.0022456832,-0.22090538,-0.28537226,0.0790465,-0.178384,-0.023039479,-0.013616465,0.060428653,-0.08778521,-0.043103814,-0.12800613,0.06763716,-0.21717833,-0.052048996,0.00799619,0.15520456,-0.24338397,0.17921132,0.08826797,-0.19705781,0.07403156,0.006818394,0.02368781,0.17414427,0.03649137,-0.08525335,-0.13689476,0.16113725,0.06985047,0.16524996,0.13533072,0.49117517,-0.07943891,-0.14102463,-0.09609347,-0.13515858,-0.19364281,-0.0481022,0.08144691,-0.052717134,-0.022903642,-0.017109158,-0.033484116,0.15903267,0.07138546,0.015627034,0.03691522,-0.16013888,-0.0479703,0.06450519,0.3975925
P0AFW0,0.010419721,-0.10782646,-0.16976105,-0.026468668,0.050868724,-0.045122884,0.086916946,0.0058481293,0.028263861,0.029895406,-0.045106523,-0.043002293,0.1012767,0.0734729,-0.07106178,-0.02615663,-0.10455388,-0.03711416,-0.017832601,-0.09567412,0.24461943,0.10586926,-0.032906227,0.0045305938,0.101560086,0.0032528006,-0.0072644725,-0.08291262,-0.07315447,0.00041372236,0.008716487,-0.0438383,0.0038924627,0.019532703,-0.15252495,-0.13524485,0.122896895,-0.08255611,0.004481581,-0.037487395,0.08674675,0.05983155,-0.034067195,-0.2357582,0.021169916,-0.20482995,0.15531075,-0.064657465,0.035524294,0.002869321,0.03894369,0.08119525,-0.027863692,0.024386913,-0.051602103,-0.03648771,-0.012205613,0.0043138955,-0.0057823323,0.09687129,-0.088406086,-0.09926697,-0.1529592,-0.027334936,-0.024074512,0.01382774,-0.038099237,0.0007331297,-0.0240947,-0.06487709,0.056777716,-0.15802881,-0.0023478288,0.08269799,-0.04061677,0.19812228,-0.12893492,0.014107071,-0.018879574,-0.09611534,-0.06771667,0.024996959,-0.2093755,0.006519936,-0.015233729,-0.11235452,-0.060376026,-0.16332848,0.082002096,-0.014948554,-0.015525533,0.02956405,0.19281326,0.0008249432,0.13415639,-0.0486541,-0.09921088,0.09105253,0.033659358,0.0790068,-0.16556728,0.025645081,0.011790487,-0.14973958,0.12583601,0.008594403,0.098088354,0.018778479,-0.22024354,-0.033400614,-0.10391841,0.082294255,-0.014389586,-0.113170594,0.09595857,0.03842587,0.13123758,0.046339437,-0.08676877,0.03029957,-0.015627898,-0.104442134,-0.1383911,-0.040063474,0.06363863,0.039477106,0.13306607,-0.17007308
P06821,0.021927789,-0.038518727,-0.12278025,0.024673978,-0.0009082081,-0.03117112,0.057714857,-0.055399604,0.15307383,0.036686193,-0.16642874,-0.16251186,0.09952077,-0.17993692,-0.023815569,-0.030711401,0.06850551,0.012402948,-0.076699205,-0.12769562,0.10709496,-0.009937376,0.0433262,0.0589477,0.034537025,0.057238746,0.19072369,0.056176428,0.016829083,-0.030883674,0.06748955,-0.014932859,0.059043933,-0.05370477,0.051755466,-0.015511885,-0.08335732,-0.15423594,0.16875546,-0.004940372,-0.077809595,-0.012025621,0.06066331,0.09458679,-0.22139615,-0.10058539,-0.35086575,-0.15396228,0.106278636,0.024721509,-0.12697066,0.033198163,-0.08113085,-0.01717953,0.06040422,0.02953152,0.066140175,0.0050834864,0.1712418,-0.021924602,0.03824491,-0.10222249,-0.0014994238,0.10062647,-0.2983032,0.06702195,0.094968244,0.19240457,0.013783461,-0.16740228,0.07960498,-0.101521954,0.05090195,0.21452907,-0.0051554106,-0.0047110543,-0.21718271,0.09449339,0.15006384,-0.10121733,-0.056826733,0.0285822,-0.09712079,-0.0021072617,0.16757335,-0.03562517,-0.11346618,0.10485287,0.040585585,0.13733253,0.06709646,-0.03697907,0.1557442,-0.07845766,0.008755527,-0.009766311,-0.109787,0.015115913,-0.02365856,0.06217826,-0.02967146,-0.009280894,-0.06867202,0.13689423,-0.07878109,-0.022702893,-0.17702438,0.12144637,0.0026419945,0.123487696,-0.15345778,-0.29008165,-0.028512096,0.026913915,0.017750936,-0.12696895,-0.06327094,-0.13092808,-0.1611085,0.0016440891,0.1938149,-0.2777852,-0.09810822,-0.20046243,-0.20521702,0.3949266,-0.01905462,0.21690392
O08807,0.018694803,-0.009364529,-0.0017607659,0.099687934,-0.04611806,0.123670705,-0.05038051,-0.05438537,-0.05154263,-0.113061965,-0.017432878,0.027438857,0.06590442,-0.072259545,0.024733495,0.08868607,0.09791332,-0.021312451,-0.015711933,-0.063420825,-0.008536225,-0.0001850836,0.10295533,0.062264606,0.053960077,-0.03458424,-0.0066641755,-0.07324104,0.0018555708,0.019492496,-0.088796794,-0.032045953,0.029508252,0.033441283,-0.022125386,-0.19460608,0.01691804,-0.06887784,0.07976431,0.16205391,0.024248086,0.022165047,0.04520315,-0.11878501,-0.11029179,-0.19992775,0.14972158,-0.06925697,-0.09026232,-0.054117568,-0.06649093,0.10581102,0.071139954,-0.06589024,-0.06609176,-0.12188226,-0.04975628,-0.06150285,-0.036439758,-0.028835732,-0.0031222515,0.0025377236,0.078174345,-0.08858609,0.0019360706,-0.045169894,-0.027316637,-0.086598076,0.02531004,0.0022647753,0.16405626,0.121273056,0.032873087,0.09877765,0.06405004,0.041124187,0.018223247,0.025335062,0.13289969,-0.12104843,0.024746235,-0.13182887,-0.03938193,-0.057899315,0.010650059,-0.08211318,0.049938753,-0.02466562,-0.0027929097,-0.09213746,0.1713271,-0.036340117,-0.007487027,-0.09781423,0.15502541,-0.0124093285,-0.04646799,-0.050739083,0.12511085,0.016560853,0.3019954,-0.041875236,0.011997568,0.15845011,0.10210073,0.054147106,0.0422199,0.16026938,-0.04416246,0.06120879,0.09721791,-0.10590877,0.0012375787,0.008675657,-0.11513677,0.031252034,-0.0050763264,-0.058811173,-0.0023040045,-0.018088805,0.01556904,-0.047866113,-0.12537381,0.08290265,-0.06905834,0.00586742,0.014995277,-0.10452991
Q7NBZ0,0.019133082,-0.08641793,-0.056673348,0.10268207,0.06325526,-0.034224063,0.06851076,0.033816762,-0.05591342,-0.08435334,-0.014725074,0.026967943,-0.027483966,0.070890486,-0.1570629,-0.010360301,-0.08117956,-0.010396212,0.032780472,0.026920052,0.12134857,0.11622237,-0.08262634,0.05218854,-0.019094469,-0.08326349,0.005068183,-0.13331017,-0.02302054,0.032488868,-0.009405503,-0.021424469,-0.020441664,0.07730936,-0.12499711,-0.21200652,0.0509739,0.03506938,0.020628976,0.002699662,-0.05365646,-0.07773632,-0.041252535,-0.21769796,0.049181666,-0.25899857,0.20544088,-0.030509748,0.03805267,0.11505669,0.048701245,0.058727883,-0.028716985,0.14157632,-0.059606515,-0.044207674,0.017972134,-0.037135117,-0.016513925,-0.05830998,-0.04930986,-0.07465167,-0.10292579,0.04598303,-0.00058433786,-0.01750931,0.035185687,0.055175878,-0.019225698,0.13281539,-0.00787871,-0.035939515,-0.087083906,0.04295351,-0.04310826,0.114599004,0.04412777,0.124305576,-0.015493337,-0.022439683,-0.033677034,0.080714904,-0.077740416,-0.021242091,0.02989002,-0.17400408,-0.107674986,-0.041462228,0.014215767,0.022004306,0.10803031,0.023965677,0.070958905,-0.044074304,0.13977993,0.040664237,0.068665676,0.09369816,-0.01504416,0.02638362,-0.01596675,0.07320365,-0.0024661757,0.018422883,0.05045535,0.0033041053,-0.054691106,0.05265033,-0.16425131,0.008555498,-0.00025663897,-0.06623476,0.013723474,-0.2226387,0.0081509985,-0.022190554,0.029320173,-0.056310102,-0.07029546,-0.02110351,-0.051201537,-0.07921258,-0.013201686,-0.033859335,-0.02282842,-0.015256727,0.0830521,-0.20094736
O94913,-0.26908225,0.057850942,0.028599221,0.06810552,0.0015537422,0.10965952,0.03501923,0.07605886,-0.063376255,-0.064041704,0.06946261,0.061929494,-0.09211473,-0.032160603,0.21959086,0.08120544,0.15165159,-0.024146287,0.06383827,-0.001341451,-0.21958765,-0.0068293996,0.0063977437,0.04260906,-0.087752715,-0.007156688,-0.111694336,0.1658674,0.05347331,-0.0100975605,0.034668528,0.055240914,-0.062217098,-0.13182083,-0.042804476,0.0070590004,-0.12540878,0.0054738782,0.00947737,-0.12702218,-0.032849126,-0.013913501,0.03747305,0.16903277,0.0776958,0.041492254,-0.07519092,-0.029891998,0.06601379,-0.03754396,-0.0024919547,-0.058629543,0.014531285,-0.17529595,0.11833738,-0.025374273,-0.052853055,-0.05492006,0.024072368,-0.01223544,0.009263758,-0.031415243,0.08247461,0.108555034,-0.049295947,0.041679036,0.18262634,-0.2749966,-0.030390985,0.16759315,-0.083464906,0.022984233,0.109279424,-0.10411503,-0.012699846,-0.041251767,0.027864734,-0.09072237,-0.05794103,-0.22678278,0.1052356,-0.2201576,0.04542904,0.024663258,0.08753103,-0.0004454367,-0.044304162,-0.03406915,0.05502245,0.0070014764,-0.056637064,0.052471794,0.009786885,-0.03158854,0.020801932,0.08600966,-0.056684803,0.031300623,-0.0013699357,-0.0066906065,0.2750581,0.020867866,-0.07968788,-0.18035029,0.07519508,0.011477238,0.03972639,-0.047214787,0.4712286,-0.04804516,-0.15916118,0.019058064,-0.131958,0.06476155,-0.05683799,0.029935503,-0.13531792,-0.03204412,-0.06411168,-0.007592954,0.21145585,-0.01926416,0.043277875,0.08087523,-0.20794956,-0.051321406,0.0011692531,0.10803038
P16333,-0.061996736,-0.09854568,-0.11631216,0.07221632,0.09740253,-0.019342639,0.12956661,0.07454762,0.06839532,-0.035174794,-0.02990669,-0.05425658,0.18276338,-0.12147552,-0.0085251145,-0.07401115,0.11325382,0.0060591064,0.022640493,-0.09155805,0.06972748,-0.067157805,-0.03592812,0.0613404,0.04793924,-0.083137825,-0.04513398,-0.111209765,-0.037511878,-0.021682639,-0.08795317,0.11258515,0.030619163,-0.016093418,-0.030828685,-0.07963562,-0.032062553,-0.01693914,-0.005225477,-0.025028134,0.18982834,0.14313516,0.022268277,-0.21281828,-0.057180107,-0.08238655,0.2018891,-0.014934339,-0.08226892,-0.015442266,0.011375252,0.013062524,-0.03175426,-0.080821484,-0.118446656,-0.19542718,-0.022226658,-0.08500116,0.03370647,0.00525631,-0.16861245,-0.062990725,-0.094587065,0.003376983,-0.053661622,0.07329508,-0.08638458,-0.17120673,-0.088062495,0.073198885,0.04035771,-0.0511545,0.029470576,0.09261877,0.0098009575,0.15276474,-0.035912126,-0.12799692,-0.08177799,-0.07741395,0.09773405,-0.018319972,-0.030448709,0.059320763,0.08596607,-0.12533113,-0.13419645,-0.06118907,-0.0004781857,-0.06061495,-0.09419035,0.06293383,0.0579907,0.12156515,0.15954627,-0.09758528,0.097543575,0.106409326,-0.0364678,0.11744585,0.029412746,0.015911493,-0.07991214,0.011936524,0.0513709,-0.028227506,0.11710319,0.0336601,-0.10146509,-0.031202251,-0.17049485,-0.04306338,-0.21048787,-0.06364016,0.07537333,-0.09462434,0.037171036,-0.0031039957,-0.079603866,0.033396706,-0.009215889,0.106183484,-0.060620338,0.04622887,-0.040642854,-0.090539984,0.037300482,-0.083380476
