accession_code,c_max_mbl,f_max_mbl,p_max_mbl
A0A024B7W1,11,10,17
A0A075TRK9,9,9,
A0A0B5LB55,3,7,
A0A0D1DWQ2,4,,
A0A0H3L5C8,,4,
A0A0H3LCC3,,4,15
A0A0H3LHU4,10,18,16
A0A0K0MJN3,,2,
A0A166U5H3,10,2,13
A0A1C7D1B7,,9,3
A0A1D8PFS4,10,,
A0A2P1GIW2,13,,
A0A2P1GIW3,13,,
A0A3L7I2I8,,13,15
A0A4P8DY91,,2,17
A0A4Y1WAR4,10,14,16
A0AVT1,10,,20
A0FKN5,,2,
A0JNT9,11,12,17
A0QWG6,,4,14
A1B198,,1,
A1Z1Q3,13,9,16
A2A825,8,15,15
A2ABV5,10,,15
A2AR95,10,11,16
A4YDT1,,5,
A5D8V6,11,9,18
A5KE01,,2,
A6ND01,10,9,13
A6NED2,10,,
A6NI73,9,,21
A6NIH7,10,8,15
A6XH05,,3,11
A7IZE9,,13,
A7KAX9,10,,12
A8I4E9,7,6,11
A8KC60,,,17
A8MT69,10,15,18
B2RHG1,3,,13
B2RXH2,13,3,
B2UP57,,2,6
B4XT64,10,,3
B5BLW5,,5,
B5KM66,13,,17
B7GTK2,5,11,
B8Q027,,13,
B9EHT4,10,,18
B9PW35,8,13,17
B9VJ59,,15,
C0HLV2,9,11,
C0LGQ5,10,,17
C0LGW6,9,11,14
C3VPR6,13,,18
C4M4P4,10,13,16
C6KRN1,10,,16
C6KSX0,9,,15
C8VTS4,13,,15
D2Z028,,2,
D3ZMK9,11,15,17
D6RGH6,13,15,17
D9I2F9,10,11,5
E7EZF3,13,,17
E9Q401,11,17,19
F1LQ48,7,11,16
F1RAX4,10,15,13
F4JW79,10,14,20
F5HF68,5,11,13
F8WQK8,9,10,9
F9VMT6,,16,17
G1FNI6,,15,
G4NAP4,,2,14
G5EEG7,13,15,15
G7JEE5,,5,1
G8JZS6,4,,
H2B3G5,9,,
I1WVY3,5,12,
L7NCQ3,,10,2
M1V4Y8,7,6,11
O00175,,10,19
O00182,13,15,21
O00204,10,13,15
O00212,10,15,18
O00214,10,11,18
O00222,,13,16
O00253,8,11,14
O00291,13,13,17
O00308,13,16,22
O00338,10,2,8
O00399,11,,
O00451,10,11,12
O00463,11,15,19
O00472,10,,13
O00499,13,15,20
O00560,12,15,20
O00585,9,6,19
O00757,10,15,
O00910,13,15,17
O02372,9,3,16
O02649,10,,17
O04019,13,,17
O08547,9,,12
O08583,,14,
O08603,10,,19
O08604,10,,19
O08722,11,,17
O08807,12,15,16
O08838,4,12,14
O09061,10,,
O09118,10,,17
O13034,5,12,18
O13289,7,,18
O13877,2,,20
O14011,10,,12
O14036,10,,12
O14187,10,,12
O14352,10,9,17
O14368,13,15,17
O14503,13,16,20
O14520,10,6,9
O14526,10,8,20
O14529,13,16,20
O14544,10,,16
O14717,10,2,1
O14782,11,,
O14788,10,10,20
O14792,6,2,5
O14793,8,15,17
O14842,10,13,15
O14879,10,15,21
O14939,9,,19
O14960,10,15,14
O15033,10,15,20
O15054,10,11,
O15055,13,,13
O15056,10,5,16
O15085,10,11,17
O15123,9,14,18
O15151,10,17,20
O15198,10,,20
O15212,2,13,16
O15245,10,11,12
O15264,10,14,20
O15287,10,16,16
O15305,11,,16
O15360,13,,16
O15371,10,14,16
O15372,10,,18
O15389,9,,
O15393,10,11,18
O15394,10,15,
O15496,9,12,20
O15530,10,14,19
O15537,10,,16
O17670,13,,17
O18334,11,15,17
O22287,13,,19
O22793,6,13,9
O22822,10,2,15
O23512,,6,
O23530,13,,19
O24146,,2,13
O29976,,2,
O32504,,16,17
O33283,,12,
O33407,4,5,12
O33983,9,,16
O34002,,2,
O35235,,15,20
O35244,,12,13
O35250,10,,
O35305,11,,20
O35381,13,,
O35627,13,15,17
O42661,5,,12
O43255,10,12,18
O43278,9,,
O43291,10,12,9
O43318,10,15,23
O43396,10,,
O43432,10,9,18
O43464,13,15,18
O43508,10,11,20
O43559,10,15,15
O43572,10,11,11
O43586,10,15,11
O43613,10,2,18
O43614,10,2,18
O43639,12,13,20
O43704,10,2,16
O43765,13,15,18
O43865,9,15,17
O43896,12,,15
O43924,11,12,16
O46043,13,4,20
O48737,1,11,16
O49523,10,7,16
O50202,,17,
O53580,,9,12
O53581,5,7,
O53585,,13,10
O53664,,3,1
O54288,,2,
O54785,13,13,16
O54924,7,,
O54983,13,2,10
O55038,8,6,16
O55164,10,,14
O55234,10,10,18
O58966,,9,
O59734,5,,12
O60241,10,13,15
O60242,10,,14
O60341,13,18,20
O60381,10,,
O60504,10,10,20
O60565,,13,18
O60568,12,14,5
O60609,10,11,14
O60678,13,4,19
O60684,10,,6
O60729,13,14,22
O60759,10,,13
O60814,13,,19
O60826,11,7,18
O60870,10,15,16
O60880,10,10,15
O60906,,12,
O61667,10,,17
O61722,10,,18
O62479,10,15,14
O64470,,2,14
O64743,,2,13
O64903,13,3,17
O66198,,,13
O70201,10,,16
O70209,9,8,14
O70361,,15,20
O70394,10,,19
O70435,10,,
O70624,12,14,17
O73790,10,13,10
O74499,10,11,17
O74966,5,,12
O75031,10,,20
O75112,10,8,
O75129,,14,
O75144,10,15,20
O75175,10,,
O75317,13,11,16
O75324,10,13,13
O75330,11,,
O75334,10,,14
O75344,10,15,14
O75347,12,13,
O75365,13,,17
O75368,13,8,18
O75400,10,,17
O75446,10,12,20
O75462,10,,15
O75525,13,15,
O75563,10,,11
O75570,10,1,
O75604,10,15,20
O75674,11,17,19
O75688,12,14,16
O75694,10,,
O75716,10,,18
O75717,10,15,
O75751,10,5,12
O75792,10,15,16
O75795,9,,11
O75815,,13,18
O75821,10,14,12
O75822,10,15,10
O75886,10,,18
O75888,10,11,14
O75897,10,2,14
O75914,10,14,21
O75937,13,11,
O75943,13,,20
O75962,10,14,18
O75970,10,,
O75971,13,2,2
O76021,12,12,15
O76041,6,13,
O76054,10,,
O76071,10,,17
O76093,12,2,19
O76095,10,17,17
O76927,10,11,12
O80467,,2,
O80568,,4,12
O81770,,13,13
O81862,,2,16
O82226,10,12,15
O88273,8,15,18
O88384,9,,
O88470,13,19,20
O88554,13,13,16
O88587,10,,19
O88622,13,4,16
O88844,10,,15
O88867,8,,17
O88951,10,,
O89050,12,15,17
O89093,,10,14
O94316,10,,12
O94444,0,12,18
O94649,0,10,16
O94760,10,8,16
O94782,13,11,17
O94788,10,12,17
O94806,10,12,18
