uniprot_id,class
P06132,0
P11655,0
O95149,0
O75347,0
O75604,1
Q8IZH2,1
P13686,0
O94316,0
P02686,0
P23872,1
P02747,0
P0AFW0,1
P06821,0
P16333,1
Q7NBZ0,1
P0DTD2,0
P47017,1
Q28399,1
P36969,1
P09041,0
O09061,0
A0A0H2US80,1
A2ABV5,0
O55164,0
Q8IXK0,1
O94760,0
P17256,1
Q3HL75,1
Q05080,1
O75129,0
P25233,1
A8KC60,1
P0ABV6,0
P0DPK5,0
O81770,0
P08902,0
P15700,0
P10493,0
O75334,0
P01857,0
O59734,0
O60609,0
O15537,0
P16233,0
O75694,0
P14079,0
Q13114,1
P23381,1
O95071,0
P27487,1
P28862,1
O60870,0
P10082,0
Q06559,1
P16858,1
Q15750,1
P0A855,0
P41834,1
P0CG04,0
A4YDT1,0
P12645,0
P16297,0
Q96RG2,1
P19934,0
O14352,0
P28702,1
P08240,0
P14324,0
P08700,0
O43765,0
P27695,1
O74966,0
P0AA37,0
O75886,0
P05122,0
P23568,1
P00358,1
Q8DTS9,1
P06993,0
Q8WZ42,1
P12318,0
P06907,0
O15305,0
P28482,1
E7EZF3,0
Q8G6R2,1
O14526,0
P14099,0
Q9Y0D3,1
O54983,0
P0CY35,1
O24146,0
H2C3I7,1
Q07637,1
Q8DQX8,1
O33983,1
P14907,0
P09591,1
P00423,0
Q8TBC4,1
O00182,0
P14902,0
P08169,0
O00204,1
Q9BYE9,1
Q15477,1
P00374,1
Q9HD42,1
O43464,1
O09118,0
O95319,0
O60381,0
P0A935,0
Q9H211,1
O43572,0
Q92448,1
O42661,0
P08621,1
P61077,1
P18708,0
O81862,0
O94906,1
O18334,0
Q13387,1
O60678,0
P11124,0
Q6HEJ4,1
O94806,0
P19338,1
P18433,0
A8MT69,0
A6NED2,0
P13743,1
P0DOB5,1
P40429,1
D9IL10,1
O75368,0
O94649,0
P05112,0
P47897,1
P55055,1
P0AFM6,0
P9WQN9,1
P19793,1
Q93VT9,1
P00957,1
P10300,0
P03612,0
P20826,0
P50142,1
P05981,0
O60242,0
A0A2P1GIW2,0
E9Q401,1
O75324,0
O15085,0
P07102,0
Q8KP52,1
Q8G6C9,1
Q5BJF6,1
P15391,0
P02100,0
P12063,1
O00338,0
P05696,0
Q3E7X9,1
P15926,0
Q99816,1
P0CY29,0
P04911,0
O60341,1
P27278,1
P0C0N1,1
P0AEY8,0
P08048,0
P04370,0
P0CG47,1
P39533,1
Q75NZ0,1
P62837,1
P37231,1
C6KRN1,0
P00942,0
P51948,1
Q42525,1
P01579,0
P0A3J0,1
Q9Y4K3,1
Q13480,1
P01501,0
P68777,1
P20937,0
P0ADS2,0
A0A0D1DWQ2,0
Q6ZU80,1
O08604,0
Q15046,1
P0A6Y1,0
Q8LK65,1
Q9UNE7,1
O15264,0
O43559,0
P0AE88,0
P21981,1
P68104,1
Q12904,1
Q15637,1
O60568,1
P16152,0
P02511,1
P43593,1
O94444,0
P04818,1
Q96EZ8,1
P31294,1
P41797,1
P00330,1
Q59NQ5,1
P03952,0
P50552,1
Q9NQ66,1
P08168,0
P60520,1
P62913,1
P0A6F1,0
P59240,1
P0A7V8,1
P03375,0
P10443,0
P04806,0
O88951,0
P03485,0
P61086,1
P33421,1
P13232,0
Q8E4T9,1
P00191,0
P11229,0
P19784,0
Q13951,1
P03880,1
Q06124,1
P20065,0
P01586,0
Q92734,1
P08171,0
O43255,0
Q14103,1
P18545,0
P0AFL3,0
O00757,0
A6ND01,0
P07358,0
P18075,0
Q9UMS4,1
O08603,0
Q06208,1
Q6P9J9,1
P07363,0
C8VTS4,0
P43138,1
P05230,1
O60759,0
P55072,1
P09169,1
P13635,0
P12235,1
P43364,1
Q9Y3E5,1
O80568,0
P0A7E9,1
O15245,0
C0HLV2,0
A0FKN5,0
P63104,1
P50222,1
P08238,1
P07636,0
P08670,1
Q9VDV4,1
Q9CR42,1
Q8WV44,1
P06169,0
P02489,1
P00360,1
O95970,0
Q9ZVD5,1
O88384,0
P42801,1
P09382,1
O95801,0
P47992,1
P15018,0
P68187,1
Q5XIM7,1
Q9H190,1
O43396,0
D6RGH6,0
P45973,1
P06704,0
P05141,1
P00572,0
Q9EQQ9,1
Q13825,1
Q9UHD9,1
O75822,0
A6XH05,0
P08572,0
A7IZE9,0
C4M4P4,0
P08118,0
P46777,1
Q8X1T3,1
O95980,0
A8AUR6,1
Q9NR28,1
H2F490,1
P0AFR2,0
Q15797,1
Q00610,1
Q96L73,1
P05090,0
O15371,1
O75365,0
Q13153,1
C6KSX0,0
P04347,0
P21374,0
P09733,0
P15692,1
P10275,1
P21375,0
P0ACC1,0
Q7YZX3,1
P15208,0
P11940,1
O00308,1
P01023,1
P0A6E6,0
P12476,0
P10810,0
D3ZMK9,0
P61088,1
O15287,1
P0AB58,0
O08722,0
O35627,0
P01555,0
Q8TB24,1
Q15038,1
P07335,1
Q61171,1
P9WPE9,1
O82226,0
P16951,1
P28834,1
P01772,0
O75751,0
P05113,0
P83780,1
O14842,0
P0C1S8,0
P05062,1
A0A3Q8IFX2,0
P38011,1
P78352,1
Q27820,1
Q15843,1
P18670,0
O54785,0
P18014,0
P62136,1
Q27727,1
P75391,1
P0A8M3,1
Q9CXW4,1
O43291,0
P12670,0
P45850,1
P0A7L0,1
O43278,0
P04899,0
P30822,1
O70209,0
A0A4P8DY91,0
O43896,0
P0DPK2,0
P30041,1
P01236,0
P04397,0
O95760,0
P19880,0
Q96LK0,1
P03126,0
Q3UVR3,1
P02359,1
P15891,0
Q8R010,1
O75795,0
P0DJD3,0
Q21921,1
P09446,0
Q8CPQ1,1
P25539,1
P42834,1
P08237,1
Q05086,1
Q6ZNA4,1
O75570,0
P99029,1
P01721,0
P11574,1
P06744,1
P01859,0
A5D8V6,1
F1LQ48,0
O95833,0
O15389,0
O61667,0
Q98TD4,1
P19447,1
P29055,1
G1FNI6,0
P15151,0
O60504,0
P38936,1
P16687,0
P39099,1
A0A0H2UNG6,1
O53664,0
O00212,0
P40296,1
Q8WWY3,1
Q4A9M4,1
P08244,0
P44324,1
P62081,1
O46043,0
P01258,0
O14879,0
Q1JML5,1
P42858,1
Q5JFG7,1
P01583,1
P20783,0
P04279,0
P13716,1
Q9VU15,1
P17710,1
P01731,0
P09201,0
P32325,1
A9M296,1
Q9BWF3,1
A0A4Y1WAR4,0
P05129,0
P17741,0
Q8BH75,1
P10398,0
Q6Q3I2,1
P20443,0
P13598,0
P02309,0
O00253,0
P12271,0
P37282,1
E6J203,1
O89093,0
A0A1C7D1B7,0
Q24314,1
P11980,1
O89050,0
P0A894,0
P48570,1
O70435,0
Q90X96,1
A0A5P8PC26,1
Q9I9A9,1
P01097,0
D5G7U8,1
Q63HR2,1
O00175,0
P16860,0
O08838,0
P00549,1
P07250,1
P01593,0
Q01217,1
P46937,1
P14540,1
P06681,0
Q9NPI8,1
P0AAW9,0
O00291,1
P11836,0
P04075,1
P13001,0
G8JZS6,0
O35250,0
O22287,0
Q08438,1
A6NI73,0
P10276,1
Q5X762,1
P01867,0
P02293,0
P0AF36,0
E0N8L2,1
P11488,0
P82612,1
O76071,0
A0A0H3L5C8,1
Q57872,1
P0AFX7,0
P25858,1
P0C7R1,0
P08487,0
O35381,0
P06789,0
P54575,1
A0A0F2E7M6,1
P41007,1
Q969T4,1
O75971,0
P54066,1
P21243,0
P62258,1
E6IYJ0,1
P20809,0
P32835,1
P0AG40,1
P0DPB6,0
P20042,0
P06745,1
P13929,0
O75344,0
Q9NQX1,1
P0AC19,0
P17555,0
P02767,0
P06307,0
P09429,1
P00445,1
Q96B02,1
P08254,1
P07492,0
P0AFX0,0
P0C0L5,0
P00883,1
P00558,1
P61459,1
P52735,1
O88587,0
O04019,1
P04418,0
A5JQI1,1
O15198,0
O64903,0
Q74JU6,1
P9WQP3,1
A8AY46,1
P37887,1
P08312,0
P40763,1
P19414,1
P0C0V0,1
P32527,1
O96033,0
A1B198,0
P04156,1
P32790,1
P01317,0
P52987,1
P68767,1
O15054,0
P0DP23,1
P15291,1
P17931,1
P23202,1
P09608,1
O54288,0
A0A075TRK9,0
B2UP57,0
P63085,1
P06850,0
O35235,0
P15822,1
P0C7P0,0
O53580,0
O88470,1
O13289,1
P0AG86,0
P01556,0
O76927,0
P02294,0
O95631,0
B2RHG1,0
Q8G5B7,1
O75937,0
O49523,0
P06168,1
Q24803,1
P04819,0
P02649,1
P32121,1
A2AR95,0
O43865,0
P0AEJ6,0
L7NCQ3,0
P49577,1
Q9SSE7,1
P0A870,0
P18196,0
P32243,1
P16045,0
P00894,0
Q04637,1
P0AGC3,0
M1V4Y8,0
Q8TAD8,1
B1YAL1,1
P0DPD7,0
P07359,1
Q14247,1
P06612,0
Q9QWV4,1
Q7L0Y3,1
P51965,1
A0EKJ1,1
Q9C0C9,1
P80188,1
P08909,0
P48601,1
Q42403,1
P19174,1
B7J1R2,1
P46273,1
Q9ALW2,1
O94875,0
O00560,1
A0A166U5H3,0
P01700,0
Q9VMB4,1
P13727,0
O74713,1
P07315,0
A4W2T1,1
Q9Y2D1,1
O88844,0
P07014,0
F1RAX4,0
O75446,0
P20827,0
O53581,0
Q43155,1
P15202,0
P0A744,0
A0A2P0XIG5,1
P04739,0
P10096,1
O95997,0
P11551,0
O15123,0
Q6GIL8,1
P16554,0
P47543,1
Q27089,1
O95994,0
P0DOY2,0
P0AAR3,0
O95273,0
O43586,0
O14529,0
P10613,0
O14520,0
P18509,0
Q96LR5,1
A0A1P8YR90,1
P06709,1
P00359,1
P20338,1
P00925,1
Q6NUS6,1
Q9UQE7,1
P15260,0
Q6UWE0,1
A0A1D8PFS4,1
P13010,1
O95154,0
Q93062,1
P08037,1
P00519,1
P07764,0
P02730,1
O75462,0
O76021,0
P12104,0
G7JEE5,0
P01189,0
O14939,0
P50362,1
P00958,0
P01270,0
A6NIH7,0
P16330,0
P02753,0
O15372,0
O14503,1
P11827,0
B4XT64,0
Q59RR7,1
P26639,1
P12425,1
O76095,0
P63159,1
Q6GIL6,1
P46527,1
P07288,0
P54279,1
Q12309,1
Q15428,1
O95429,0
P13721,0
P10645,0
O94913,0
A8I4E9,0
Q92890,1
O62479,0
P00812,1
P14859,1
P04049,1
P21187,0
I7MG78,1
P14738,0
P09546,1
P31725,1
P21327,0
O14011,0
P62993,1
O61722,0
O75400,1
O95727,0
P68105,1
Q9GZM8,1
P63165,1
P10809,1
Q9MZB4,1
Q88YH3,1
P03615,0
P28241,1
O60906,0
O14960,0
Q0VCU1,1
P05187,0
P14384,0
P01588,0
Q6PBE2,1
P13725,0
P0ABE5,0
P17506,1
P06454,0
P04637,1
Q8G6W1,1
P09956,0
P13667,0
O14792,0
P01584,0
P09086,0
P37370,1
P60723,1
G4NAP4,0
C4XEI3,1
P0DTC5,0
P12956,1
O14793,0
O02649,1
O88867,0
Q8DNW9,1
P9WK17,1
P51668,1
P00684,0
P06881,0
O75897,0
O60729,0
Q9FNJ8,1
P01282,0
O54924,0
Q4CLD0,1
P08183,1
P04591,0
O94868,0
B5BLW5,0
Q08117,1
F9VMT6,1
P0A903,0
P39743,1
Q04439,1
O14717,0
P06106,0
P27986,1
P46587,1
P30575,1
Q5K117,1
P31658,1
P05219,0
P35846,1
O00451,0
P18054,0
B2RXH2,0
P12004,1
Q05513,1
P0AES9,0
F9UM10,1
H2B3G5,0
P68036,1
O75888,0
P01160,0
Q8RNU2,1
P01594,0
P00533,1
P14550,0
P67870,1
P09914,0
Q7Z3B3,1
O95868,0
Q16659,1
Q9CW03,1
P02585,0
Q9H6Y7,1
O48737,0
P01704,0
P40054,1
O50202,0
Q59263,1
P0DJL7,0
O75792,0
P41911,1
P09913,0
O95257,0
P0A1D3,1
P21266,1
O75962,0
K1MKZ7,1
Q95017,1
P01764,0
P27797,1
Q9K498,1
P06312,0
P0C8E7,0
P19087,0
P11325,1
Q9NRI5,1
B7GTK2,1
P01139,0
P01709,0
P0AC13,0
P00734,1
O95390,0
P99999,1
Q8NEU8,1
P61457,1
P18627,0
Q8N3Y7,1
O00472,0
A0A0H3L8I8,1
G5EEG7,0
Q60591,1
Q12018,1
P41250,1
Q9H0A6,1
P12931,1
Q8Y5E6,1
P20592,0
P08393,0
P09467,1
P27361,1
B8Q027,1
P13639,1
P12955,0
O75317,0
O95393,0
Q7YQK6,1
P32856,1
O75717,0
P07395,0
Q13404,1
P0ABB4,0
Q9V4S8,1
P61254,1
P10826,0
Q9Z0E3,1
P14618,1
Q8N0Z3,1
P53350,1
A8AWA0,1
P56192,1
P19926,0
Q9VD72,1
O95704,0
P0A0M0,0
O00463,0
P00546,1
P60174,1
O75716,0
P07814,1
Q13501,1
O08583,0
P91883,1
P59159,1
O33283,0
D9I2F9,0
Q8G6D6,1
P0AFF6,0
O08807,0
Q00613,1
P23256,1
P16568,0
Q8G879,1
P29350,1
Q97QS2,1
P13299,1
P25911,1
P0ABC7,0
P08318,0
O75031,0
Q96AP0,1
O43639,1
P08638,0
Q12629,1
Q16543,1
P09237,0
Q00987,1
O14036,0
P04053,0
P68400,1
P0A7R5,1
P0A964,0
O34002,0
P61964,1
O22793,0
P04807,1
P02746,0
O76054,0
P54786,1
O43614,0
O58966,0
P0ADY3,1
B9VJ59,1
P98170,1
Q08379,1
P09032,0
P09326,0
Q383B2,1
P48415,1
P16143,1
P18065,0
O74499,0
P03957,1
P00257,0
P49710,1
P00568,0
Q9NDG0,1
O08547,0
Q8X1X3,1
P78362,1
P52286,1
P00004,1
P62799,1
Q15154,1
O00222,0
P03255,0
P48962,1
Q7L5D6,1
P17562,0
D5GYN9,1
P08134,0
O43432,0
P18291,0
A0A0E0UUG2,1
O95834,0
Q9UKG1,1
F4JW79,0
A1Z1Q3,0
Q9CZD3,1
Q8N8N0,1
O14782,0
O80467,0
Q05201,1
P0A7J3,1
O95881,0
P0AER0,0
P16402,0
O95372,0
P07148,0
P46108,1
P10852,0
P36024,1
P14120,1
Q92997,1
P0A4S2,1
P38822,1
P43405,1
P17618,1
Q7LX99,1
Q9H307,1
Q9KK62,1
P15303,1
O43924,0
P62277,1
O00585,0
Q86VP1,1
P13199,0
P07141,0
Q12873,1
P00560,0
P04764,1
O43318,1
P06733,1
P04002,0
P0ABB0,0
O15496,0
P12272,0
Q8IWX8,1
P04406,1
P21570,0
P43274,1
Q14160,1
P20290,0
P0C5Z0,0
P0CJ48,0
P07017,1
Q80VW7,1
P0DMC5,0
Q14457,1
E6KMA1,1
O95998,0
O96018,0
P19156,0
Q9VUM1,1
O55234,0
P45880,1
P08640,0
P05120,0
P00724,0
P69786,1
Q13492,1
A5KE01,0
P23396,1
P05451,0
O43508,0
Q61371,1
Q9BZR9,1
P54253,1
Q96EB6,1
P0A6L0,0
Q8IUQ4,1
Q94420,1
P0A6S5,0
P00748,0
B5KM66,0
A0A0K0MJN3,0
O94782,0
Q2YVT4,1
Q9H4A3,1
Q92211,1
Q4A740,1
Q9GLW8,1
O95163,0
Q7JXV9,1
Q9NRD5,1
Q9C019,1
Q92731,1
P19889,1
P11142,1
P20068,0
P08191,0
Q9Y6K9,1
Q9Y6X0,1
O88273,0
P43067,1
P14091,0
P13797,0
P62310,1
Q9NYB9,1
Q0P891,1
P60010,1
P0DN86,0
O60814,0
O75674,1
P14209,0
Q9Y2D8,1
P15336,1
P36873,1
P00044,1
A0A0H3LHU4,1
P53647,1
P14755,1
O76093,0
O96013,0
Q00534,1
P0AG30,0
O15530,1
O75688,0
O95235,0
Q9Y6Q9,1
B9EHT4,0
Q7WTU1,1
O60684,0
Q9HI69,1
P50570,1
P04351,0
P14868,0
P01210,0
Q9BQB6,1
P06702,1
P62263,1
P00803,0
P04696,0
P04385,0
Q05128,1
P01225,0
P98175,1
P25788,1
O75815,0
Q8WYB5,1
Q96UT6,1
A0A0H3C985,1
Q06449,1
O02372,0
Q9URB4,1
O14788,1
P12530,0
P14921,1
P0A7W7,1
P09104,0
P42227,1
O15360,1
P00326,0
Q5JFD7,1
Q8GE63,1
O14544,0
P32189,1
O75914,0
Q9KKF0,1
O15055,0
P07327,0
P19221,0
Q92132,1
Q13596,1
F8WQK8,0
P07998,0
P42566,1
A0A0B5LB55,0
O15151,1
P0A937,0
O88622,0
P63208,1
O00499,1
