uniprot_id,class
P06132,False
P11655,False
P11827,False
O95149,False
O75347,False
B4XT64,False
Q59RR7,True
O75604,True
P26639,True
P12425,True
O76095,False
P63159,True
Q6GIL6,True
P46527,True
Q8IZH2,True
P07288,False
P54279,True
P13686,False
O94316,False
Q12309,True
P02686,False
P23872,True
P02747,False
Q15428,True
O95429,False
P0AFW0,True
P13721,False
P06821,False
P10645,False
P60411,True
P16333,True
O94913,False
Q7NBZ0,True
A8I4E9,False
Q92890,True
P0DTD2,False
O62479,False
P47017,True
P00812,True
Q28399,True
P36969,True
P09041,False
O09061,False
A0A0H2US80,True
A2ABV5,False
O55164,False
P04049,True
Q8IXK0,True
P14859,True
P21187,False
O94760,False
I7MG78,True
P14738,False
P09546,True
P17256,True
P31725,True
P21327,False
O14011,False
P62993,True
O61722,False
O75400,True
Q3HL75,True
P68105,True
O95727,False
Q05080,True
O75129,False
Q9GZM8,True
P25233,True
P0ABV6,False
A8KC60,True
P63165,True
P10809,True
P0DPK5,False
Q9MZB4,True
P53584,True
O81770,False
P08902,False
Q88YH3,True
P15700,False
P10493,False
P03615,False
O75334,False
P28241,True
O60906,False
O14960,False
P01857,False
O59734,False
O60609,False
O15537,False
Q0VCU1,True
P16233,False
P05187,False
P14384,False
O75694,False
P01588,False
Q6PBE2,True
P13725,False
P14079,False
P0ABE5,False
Q13114,True
P23381,True
O95071,False
Q8G6W1,True
P06454,False
P04637,True
P09956,False
P17506,True
P13667,False
P27487,True
Q21648,True
O14792,False
P28862,True
O60870,False
P01584,False
P09086,False
P10082,False
Q06559,True
P37370,True
P60723,True
G4NAP4,False
C4XEI3,True
P0DTC5,False
P16858,True
Q15750,True
P0A855,False
P12956,True
P41834,True
O14793,False
P0CG04,False
A4YDT1,False
O02649,True
O88867,False
Q8DNW9,True
P9WK17,True
P51668,True
P55853,True
P00684,False
P06881,False
P12645,False
P16297,False
O75897,False
O60729,False
Q9FNJ8,True
P01282,False
O54924,False
Q4CLD0,True
P08183,True
P04591,False
O94868,False
B5BLW5,False
Q96RG2,True
P19934,False
O14352,False
Q08117,True
P28702,True
F9VMT6,True
P0A903,False
P08240,False
P39743,True
Q04439,True
P14324,False
P08700,False
O14717,False
O43765,False
P06106,False
P46587,True
P27986,True
P27695,True
O74966,False
P0AA37,False
O75886,False
P30575,True
Q5K117,True
P31658,True
P05219,False
P35846,True
Q9VCD5,True
P05122,False
P23568,True
O00451,False
P18054,False
B2RXH2,False
P12004,True
Q05513,True
P0AES9,False
P00358,True
F9UM10,True
H2B3G5,False
P68036,True
O75888,False
P01160,False
Q8RNU2,True
P01594,False
Q8DTS9,True
P06993,False
P00533,True
Q8WZ42,True
P12318,False
P06907,False
O15305,False
P14550,False
P28482,True
P67870,True
P09914,False
Q7Z3B3,True
O95868,False
E7EZF3,False
Q16659,True
O14526,False
Q8G6R2,True
P14099,False
Q9Y0D3,True
Q9CW03,True
P02585,False
Q9H6Y7,True
O54983,False
O48737,False
P01704,False
P0CY35,True
O24146,False
D3QX74,True
P40054,True
Q9JL25,True
H2C3I7,True
Q07637,True
Q8DQX8,True
O33983,True
O50202,False
Q59263,True
P14907,False
P0DJL7,False
P09591,True
O75792,False
P41911,True
P00423,False
P09913,False
Q8TBC4,True
O00182,False
P14902,False
O95257,False
P0A1D3,True
P21266,True
Q8N165,True
P08169,False
O75962,False
O00204,True
Q9BYE9,True
Q8TBB1,True
K1MKZ7,True
Q15477,True
Q95017,True
P00374,True
O43464,True
Q9HD42,True
P01764,False
P27797,True
Q9K498,True
O95319,False
O09118,False
O60381,False
P06312,False
P0A935,False
P0C8E7,False
Q9H211,True
O43572,False
Q9H0M0,True
O42661,False
Q92448,True
P08621,True
P61077,True
P19087,False
P11325,True
Q9NRI5,True
P18708,False
B7GTK2,True
O81862,False
P01139,False
Q13387,True
O94906,True
O60678,False
P11124,False
O18334,False
P01709,False
Q6HEJ4,True
O94806,False
P19338,True
P18433,False
A8MT69,False
P0AC13,False
A6NED2,False
P13743,True
P0DOB5,True
P40429,True
P00734,True
O75368,False
D9IL10,True
O95390,False
O94649,False
P99999,True
P05112,False
P61457,True
Q8NEU8,True
P47897,True
P18627,False
Q8N3Y7,True
P55055,True
O00472,False
A0A0H3L8I8,True
P0AFM6,False
P9WQN9,True
P19793,True
Q93VT9,True
Q60591,True
G5EEG7,False
Q12018,True
Q9H0A6,True
P41250,True
P00957,True
P10300,False
P03612,False
P12931,True
P20826,False
P50142,True
C2GUH0,True
P05981,False
Q8Y5E6,True
F0N9L0,True
O60242,False
A0A2P1GIW2,False
P20592,False
P08393,False
Q96HA8,True
E9Q401,True
O75324,False
O15085,False
P07102,False
P09467,True
Q8KP52,True
Q8G6C9,True
Q5BJF6,True
P27361,True
B8Q027,True
